param,value,error
baseline,1.8184620882066023,0.10381535234027209
gauss_1_amplitude,4.725249396018503,0.5743495434251699
gauss_1_mu,25.28478667214962,0.16852227657478117
gauss_1_sigma,1.8350858712928229,0.22861432346131635
gauss_2_amplitude,13.481426712505876,0.5382141468206796
gauss_2_mu,23.165848064319544,0.13008411597356392
gauss_2_sigma,5.251535256667266,0.1336085367708814
sigma_x,1.0,0.0
chi2,1274129.6017264049,0.0
dof,40,0.0
chi2_reduced,31853.24004316012,0.0
rmse,0.4086011719386462,0.0
