frame_index,time_s,value_str,value,uncertain_digits
0,0.000000,3333882,3333882,2
15,0.499910,3333882,3333882,1
30,0.999821,3333282,3333282,2
45,1.499731,3332288,3332288,2
60,1.999641,3332282,3332282,4
75,2.499552,3332228,3332228,4
90,2.999462,3332228,3332228,3
105,3.499372,3332228,3332228,1
120,3.999283,3332228,3332228,3
135,4.499193,3332228,3332228,3
150,4.999103,3332228,3332228,3
165,5.499014,3332228,3332228,3
180,5.998924,3332228,3332228,3
195,6.498835,3332228,3332228,4
210,6.998745,3332228,3332228,3
225,7.498655,3332226,3332226,3
240,7.998566,3332226,3332226,3
255,8.498476,3332226,3332226,3
270,8.998386,3333226,3333226,3
285,9.498297,3333226,3333226,4
300,9.998207,3333226,3333226,3
315,10.498117,3333226,3333226,3
330,10.998028,3333226,3333226,3
345,11.497938,3333226,3333226,3
360,11.997848,3333226,3333226,2
375,12.497759,3333226,3333226,3
390,12.997669,3333226,3333226,2
405,13.497579,3333222,3333222,2
420,13.997490,3333282,3333282,3
435,14.497400,3333288,3333288,3
450,14.997310,3333288,3333288,1
465,15.497221,3333288,3333288,0
480,15.997131,3333288,3333288,1
495,16.497041,3333288,3333288,2
510,16.996952,3333288,3333288,1
525,17.496862,3332288,3332288,1
540,17.996773,3332288,3332288,2
555,18.496683,3332288,3332288,2
570,18.996593,3332288,3332288,3
585,19.496504,3332288,3332288,4
600,19.996414,3332288,3332288,3
615,20.496324,3332288,3332288,2
630,20.996235,3332228,3332228,3
645,21.496145,3332228,3332228,3
660,21.996055,3332228,3332228,5
675,22.495966,3332228,3332228,4
690,22.995876,3322228,3322228,3
705,23.495786,3322228,3322228,3
720,23.995697,3332228,3332228,4
735,24.495607,3332288,3332288,4
750,24.995517,3332288,3332288,3
765,25.495428,3332288,3332288,3
780,25.995338,3332288,3332288,3
795,26.495248,3332288,3332288,3
810,26.995159,3332288,3332288,2
825,27.495069,3332228,3332228,2
840,27.994980,3332228,3332228,2
855,28.494890,3339228,3339228,2
870,28.994800,3332228,3332228,4
885,29.494711,3332228,3332228,4
900,29.994621,3332228,3332228,4
915,30.494531,3332228,3332228,4
930,30.994442,3332228,3332228,4
945,31.494352,3332228,3332228,2
960,31.994262,3332288,3332288,3
975,32.494173,3332288,3332288,1
990,32.994083,3332888,3332888,2
1005,33.493993,3332888,3332888,2
1020,33.993904,3332882,3332882,2
1035,34.493814,3332882,3332882,3
1050,34.993724,3332884,3332884,2
1065,35.493635,3332884,3332884,2
1080,35.993545,3332884,3332884,2
1095,36.493455,3332884,3332884,2
1110,36.993366,3332884,3332884,2
1125,37.493276,3332884,3332884,2
1140,37.993186,3332884,3332884,1
1155,38.493097,3332884,3332884,2
1170,38.993007,3332882,3332882,2
1185,39.492918,3332884,3332884,1
1200,39.992828,3332884,3332884,2
1215,40.492738,3332888,3332888,2
1230,40.992649,3332888,3332888,2
1245,41.492559,3332888,3332888,2
1260,41.992469,3332888,3332888,1
1275,42.492380,3332882,3332882,1
1290,42.992290,3332882,3332882,2
1305,43.492200,3332884,3332884,2
1320,43.992111,3332884,3332884,2
1335,44.492021,3332882,3332882,2
1350,44.991931,3332882,3332882,2
1365,45.491842,3332884,3332884,2
1380,45.991752,3332882,3332882,2
1395,46.491662,3332882,3332882,3
1410,46.991573,3332882,3332882,2
1425,47.491483,3332388,3332388,2
1440,47.991393,3332888,3332888,1
1455,48.491304,3332888,3332888,0
1470,48.991214,3332888,3332888,1
1485,49.491124,3332888,3332888,1
1500,49.991035,3332888,3332888,2
1515,50.490945,3332882,3332882,2
1530,50.990856,3332882,3332882,2
1545,51.490766,3332882,3332882,3
1560,51.990676,3332882,3332882,2
1575,52.490587,3332882,3332882,2
1590,52.990497,3332882,3332882,1
1605,53.490407,3332882,3332882,2
1620,53.990318,3332822,3332822,3
1635,54.490228,3332822,3332822,3
1650,54.990138,3332822,3332822,3
1665,55.490049,3332822,3332822,3
1680,55.989959,3332822,3332822,3
1695,56.489869,3332822,3332822,2
1710,56.989780,3332882,3332882,1
1725,57.489690,3332882,3332882,2
1740,57.989600,3332882,3332882,2
1755,58.489511,3332882,3332882,2
1770,58.989421,3332884,3332884,2
1785,59.489331,3332884,3332884,2
1800,59.989242,3332884,3332884,2
1815,60.489152,3332884,3332884,2
1830,60.989063,3332884,3332884,2
1845,61.488973,3332884,3332884,2
1860,61.988883,3332884,3332884,2
1875,62.488794,3332884,3332884,2
1890,62.988704,3332884,3332884,2
1905,63.488614,3332884,3332884,2
1920,63.988525,3332884,3332884,2
1935,64.488435,3332884,3332884,2
1950,64.988345,3332884,3332884,1
